Sentence Count: 60, URL: ./News Articles/sport/371.txt, Category: sport
Sentence Count: 94, URL: ./News Articles/tech/009.txt, Category: tech
Sentence Count: 241, URL: ./News Articles/entertainment/253.txt, Category: entertainment
Sentence Count: 76, URL: ./News Articles/sport/205.txt, Category: sport
Sentence Count: 52, URL: ./News Articles/tech/396.txt, Category: tech
Sentence Count: 83, URL: ./News Articles/sport/491.txt, Category: sport
Sentence Count: 66, URL: ./News Articles/entertainment/131.txt, Category: entertainment
Sentence Count: 51, URL: ./News Articles/entertainment/368.txt, Category: entertainment
Sentence Count: 78, URL: ./News Articles/politics/250.txt, Category: politics
Sentence Count: 155, URL: ./News Articles/tech/401.txt, Category: tech
Sentence Count: 55, URL: ./News Articles/politics/111.txt, Category: politics
Sentence Count: 154, URL: ./News Articles/politics/380.txt, Category: politics
Sentence Count: 155, URL: ./News Articles/sport/476.txt, Category: sport
Sentence Count: 51, URL: ./News Articles/tech/154.txt, Category: tech
Sentence Count: 51, URL: ./News Articles/sport/118.txt, Category: sport
Sentence Count: 75, URL: ./News Articles/tech/188.txt, Category: tech
Sentence Count: 116, URL: ./News Articles/tech/379.txt, Category: tech
Sentence Count: 144, URL: ./News Articles/entertainment/256.txt, Category: entertainment
Sentence Count: 65, URL: ./News Articles/tech/301.txt, Category: tech
Sentence Count: 250, URL: ./News Articles/politics/290.txt, Category: politics
Sentence Count: 54, URL: ./News Articles/tech/110.txt, Category: tech
Sentence Count: 138, URL: ./News Articles/politics/293.txt, Category: politics
Sentence Count: 59, URL: ./News Articles/tech/364.txt, Category: tech
Sentence Count: 52, URL: ./News Articles/entertainment/314.txt, Category: entertainment
过长文章占比: 1.09%
